default_code,name,height,width,length,thickness,uom_code,factor,standard_price,purchase_unit
70839,"FERS EN T 20X20X3",0.02,0.02,6.0,0.003,KG,5.628,7.2,Barre
70840,"FERS EN T 25X25X3,5",0.025,0.025,6.0,0.0035,KG,8.251,10.15,Barre
70841,"FERS EN T 30X30X4",0.03,0.03,6.0,0.004,KG,11.321,13.25,Barre
70842,"FERS EN T 35X35X3,5",0.035,0.035,6.0,0.0035,KG,14.903,18.93,Barre
70843,"FERS EN T 40X40X5",0.04,0.04,6.0,0.005,KG,19.065,24.21,Barre
70845,"FERS EN T 50X50X6",0.05,0.05,6.0,0.006,KG,28.398,36.07,Barre
70846,"FERS EN T 60X60X7",0.06,0.06,6.0,0.007,KG,39.847,44.63,Barre
70844,"FERS EN T 45X45X5,5",0.045,0.045,23.473,0.0055,KG,23.473,27.93,Barre
