default_code,name,height,width,length,thickness,uom_code,factor,standard_price,purchase_unit
70825,"CORNIÈRE À AILES INÉGALES 30X20X3/6,20M",0.03,0.02,6.0,0.003,KG,7.1,11.29,Barre
70827,"CORNIÈRE À AILES INÉGALES 40X20X3/6,20M",0.04,0.02,6.0,0.003,KG,8.146,9.21,Barre
70828,"CORNIÈRE À AILES INÉGALES 40X25X3/6,20M",0.04,0.025,6.0,0.003,KG,12.344,19.63,Barre
70830,"CORNIÈRE À AILES INÉGALES 50X30X5/6,20M",0.05,0.03,6.0,0.005,KG,18.996,25.84,Barre
70832,"CORNIÈRE À AILES INÉGALES 30X20X3/6,20M",0.03,0.02,6.0,0.003,KG,24.049,27.9,Barre
70833,"CORNIÈRE À AILES INÉGALES 60X40X5/6,20M",0.06,0.04,6.0,0.005,KG,34.358,45.35,Barre
70834,"CORNIÈRE À AILES INÉGALES 80X60X7/6,20M",0.08,0.06,6.0,0.007,KG,47.075,52.25,Barre
70831,"CORNIÈRE À AILES INÉGALES 100X50X8/6,20M",0.1,0.05,6.0,0.008,KG,57.564,76.56,Barre
70837,"CORNIÈRE À AILES INÉGALES 120X80X10/6,20M",0.12,0.08,6.0,0.01,KG,96.0,146.88,Barre
