default_code,name,height,width,length,thickness,uom_code,factor,standard_price,purchase_unit
70847,"FERS EN U 30X15X4/6,20M",0.03,0.015,6.0,0.004,KG,11.129,14.13,Barre
70849,"FERS EN U 40X20X5/6,20M",0.04,0.02,6.0,0.005,KG,18.357,21.11,Barre
70850,"FERS EN U 50X25X5/6,20M",0.05,0.025,6.0,0.005,KG,24.625,26.35,Barre
70851,"FERS EN U 60X30X6/6,20M",0.06,0.03,6.0,0.006,KG,32.428,30.16,Barre
70852,"FERS EN U 70X40X6/6,20M",0.07,0.04,6.0,0.006,KG,43.301,55.43,Barre
70848,"U CONGE 35X17,5X4",0.035,0.0175,1.0,0.004,KG,1.0,1.15,Barre
