default_code,name,height,width,length,thickness,uom_code,factor,standard_price,purchase_unit
154998,"TUBE GALVANISÉ 20X20X1,5",0.02,0.02,6,0.0015,ML,6,8.98,Tube
154999,TUBE GALVANISÉ 25X25X2,0.025,0.025,6,0.002,ML,6,13.59,Tube
155000,TUBE GALVANISÉ 30X30X2,0.03,0.03,6,0.002,ML,6,16.3,Tube
155001,TUBE GALVANISÉ 35X35X2,0.035,0.035,6,0.002,ML,6,19.62,Tube
155004,TUBE GALVANISÉ 40X40X2,0.04,0.04,6,0.002,ML,6,21.46,Tube
155006,TUBE GALVANISÉ 50X50X2,0.05,0.05,6,0.002,ML,6,27.25,Tube
801769,TUBE GALVANISÉ 60X60X2,0.06,0.06,6,0.002,ML,6,32.96,Tube
155009,TUBE GALVANISÉ 80X80X2,0.08,0.08,6,0.002,ML,6,48.34,Tube
449929,TUBE GALVANISÉ 100X100X2,0.1,0.1,6,0.002,ML,6,57.93,Tube
